Suburb,State,Postcode
BRINGELLY,NSW,2556
BRINGENBRONG,NSW,3707
BRISBANE GROVE,NSW,2580
BROADMEADOW,NSW,2292
BROADWATER,NSW,2549
BROADWATER,NSW,2472
BROADWAY,NSW,2581
BROBENAH,NSW,2705
BROCKLEHURST,NSW,2830
BROCKLESBY,NSW,2642
BROCKLEY,NSW,2365
BRODIES PLAINS,NSW,2360
BROGANS CREEK,NSW,2848
BROGERS CREEK,NSW,2535
BROGO,NSW,2550
BROKE,NSW,2330
BROKEN HEAD,NSW,2481
BROKEN HILL,NSW,2880
BROMBIN,NSW,2446
BRONTE,NSW,2024
BROOKDALE,NSW,2656
BROOKFIELD,NSW,2420
BROOKLANA,NSW,2450
BROOKLET,NSW,2479
BROOKLYN,NSW,2083
BROOKONG,NSW,2656
BROOKVALE,NSW,2100
BROOMAN,NSW,2538
BROOMS HEAD,NSW,2463
BROUGHAMS GATE,NSW,2880
BROUGHTON,NSW,2535
BROUGHTON VALE,NSW,2535
BROUGHTON VILLAGE,NSW,2534
BROULEE,NSW,2537
BROWNLOW HILL,NSW,2570
BROWNS CREEK,NSW,2799
BROWNS MOUNTAIN,NSW,2540
BROWNSVILLE,NSW,2530
BRUCEDALE,NSW,2650
BRUIE PLAINS,NSW,2875
BRUINBUN,NSW,2795
BRUMBY PLAINS,NSW,2476
BRUNDEE,NSW,2540
BRUNGLE,NSW,2722
BRUNGLE CREEK,NSW,2722
BRUNKERVILLE,NSW,2323
BRUNSWICK HEADS,NSW,2483
BRUSHGROVE,NSW,2460
BRUSHY CREEK,NSW,2365
BUANGLA,NSW,2540
BUCCA,NSW,2450
BUCCA WAUKA,NSW,2429
BUCCARUMBI,NSW,2460
BUCHANAN,NSW,2323
BUCKAJO,NSW,2550
BUCKAROO,NSW,2850
BUCKENBOWRA,NSW,2536
BUCKENDERRA,NSW,2630
BUCKENDOON,NSW,2472
BUCKETTY,NSW,2250
BUCKRA BENDINNI,NSW,2449
BUDAWANG,NSW,2622
BUDDABADAH,NSW,2825
BUDDEN,NSW,2849
BUDDEROO,NSW,2535
BUDDONG,NSW,2720
BUDGEE BUDGEE,NSW,2850
BUDGEWOI,NSW,2262
BUDGEWOI PENINSULA,NSW,2262
BUDGONG,NSW,2577
BUFF POINT,NSW,2262
BUGALDIE,NSW,2357
BUKALONG,NSW,2632
BUKKULLA,NSW,2360
BULAHDELAH,NSW,2423
BULEE,NSW,2622
BULGA,NSW,2330
BULGA FOREST,NSW,2429
BULGARY,NSW,2650
BULLA,NSW,2835
BULLA CREEK,NSW,2594
BULLABURRA,NSW,2784
BULLAGREEN,NSW,2824
BULLARAH,NSW,2400
BULLATALE,NSW,2710
BULLAWA CREEK,NSW,2390
BULLDOG,NSW,2469
BULLI,NSW,2516
BULLIAC,NSW,2422
BULLIO,NSW,2575
BULYEROI,NSW,2387
BUMBALDRY,NSW,2794
BUMBALONG,NSW,2626
BUNDABAH,NSW,2324
BUNDAGEN,NSW,2454
BUNDANOON,NSW,2578
BUNDARRA,NSW,2359
BUNDEENA,NSW,2230
BUNDELLA,NSW,2343
BUNDEMAR,NSW,2823
BUNDEWALLAH,NSW,2535
BUNDOOK,NSW,2422
BUNDURE,NSW,2700
BUNGABA,NSW,2852
BUNGABBEE,NSW,2480
BUNGALORA,NSW,2486
BUNGARBY,NSW,2630
BUNGARRIBEE,NSW,2767
BUNGAWALBIN,NSW,2469
BUNGENDORE,NSW,2621
BUNGONIA,NSW,2580
BUNGOWANNAH,NSW,2640
BUNGWAHL,NSW,2423
BUNNALOO,NSW,2731
BUNNAN,NSW,2337
BUNYAH,NSW,2429
BUNYAN,NSW,2630
BURCHER,NSW,2671
BUREEN,NSW,2328
BURNT BRIDGE,NSW,2440
BURNT YARDS,NSW,2792
BURONGA,NSW,2739
BURRA,NSW,2620
BURRA,NSW,2653
BURRA CREEK,NSW,2722
BURRABOI,NSW,2732
BURRADOO,NSW,2576
BURRAGA,NSW,2795
BURRAGATE,NSW,2550
BURRANDANA,NSW,2650
BURRANEER,NSW,2230
BURRANGONG,NSW,2594
BURRAPINE,NSW,2447
BURRAWANG,NSW,2577
BURRELL CREEK,NSW,2429
BURREN JUNCTION,NSW,2386
BURRIER,NSW,2540
BURRILL LAKE,NSW,2539
BURRINGBAR,NSW,2483
BURRINJUCK,NSW,2582
BURROWAY,NSW,2821
BURRUMBUTTOCK,NSW,2642
BURRUNDULLA,NSW,2850
BURWOOD,NSW,2134
BURWOOD HEIGHTS,NSW,2136
BUSBY,NSW,2168
BUSBYS FLAT,NSW,2469
BUSHELLS RIDGE,NSW,2259
BUTTABA,NSW,2283
BUTTAI,NSW,2323
BUTTERWICK,NSW,2321
BUXTON,NSW,2571
BYABARRA,NSW,2446
BYADBO WILDERNESS,NSW,2628
BYANGUM,NSW,2484
BYLONG,NSW,2849
BYNG,NSW,2800
BYROCK,NSW,2831
BYRON BAY,NSW,2481
BYRRILL CREEK,NSW,2484
BYWONG,NSW,2621
CABARITA,NSW,2137
CABARITA BEACH,NSW,2488
CABBAGE TREE ISLAND,NSW,2477
CABBAGE TREE ISLAND,NSW,2430
CABRAMATTA,NSW,2166
CABRAMATTA WEST,NSW,2166
CABRAMURRA,NSW,2629
CADDENS,NSW,2747
CADGEE,NSW,2545
CADIA,NSW,2800
CAFFREYS FLAT,NSW,2424
CAIRNCROSS,NSW,2446
CALALA,NSW,2340
CALAMIA,NSW,2460
CALDERWOOD,NSW,2527
CALDWELL,NSW,2710
CALGA,NSW,2250
CALIFAT,NSW,2729
CALIMO,NSW,2710
CALLAGHAN,NSW,2308
CALLAGHANS CREEK,NSW,2422
CALLALA BAY,NSW,2540
CALLALA BEACH,NSW,2540
CALLIOPE,NSW,2462
CALOOLA,NSW,2795
CAMBALONG,NSW,2632
CAMBERWELL,NSW,2330
CAMBEWARRA,NSW,2540
